,future_d,current_d,order 
tmp_D,0.204436795,0.196499846,601
tmp_D.1,0.08779723,0.077471717,348
tmp_D.10,0.024993934,0.025602083,198
tmp_D.100,0.099232822,0.095450281,380
tmp_D.101,0.095652174,0.091429455,369
tmp_D.102,0.342672414,0.331954974,760
tmp_D.103,0.236953456,0.234722222,658
tmp_D.104,0.000478698,0.000671592,89
tmp_D.105,0.032544379,0.03102735,216
tmp_D.106,0.017200087,0.018987342,176
tmp_D.107,0.111066958,0.107053942,409
tmp_D.108,0.451677516,0.466643975,831
tmp_D.109,1.11E-16,1.11E-16,73
tmp_D.11,0.120962352,0.115396204,435
tmp_D.110,0.091646569,0.084177708,359
tmp_D.111,0.10678337,0.100396301,394
tmp_D.112,0,0,10
tmp_D.113,0.33465949,0.322490381,754
tmp_D.114,0.000551167,0.001081666,92
tmp_D.115,0.090832396,0.081460674,354
tmp_D.116,0.442379846,0.454525862,826
tmp_D.117,0.00340068,0.005135387,118
tmp_D.118,0.221107544,0.217911074,635
tmp_D.119,0,0,11
tmp_D.12,0.435660888,0.442826321,824
tmp_D.120,0.087715517,0.076245211,347
tmp_D.121,0.234643735,0.232903865,654
tmp_D.122,0.113187736,0.108592219,415
tmp_D.123,0.009274194,0.009855951,144
tmp_D.124,0.107741787,0.105655414,400
tmp_D.125,0.095555556,0.090666667,367
tmp_D.126,0,0,12
tmp_D.127,0,0,13
tmp_D.128,0.120336311,0.115180467,434
tmp_D.129,1.11E-16,1.11E-16,74
tmp_D.13,0.238822246,0.240386941,661
tmp_D.130,0.001087548,0.001306848,97
tmp_D.131,0.000212857,0.000477327,85
tmp_D.132,0.101965602,0.096001807,382
tmp_D.133,0.473114908,0.494916555,838
tmp_D.134,0.332065304,0.322080292,752
tmp_D.135,0.553304904,0.560853008,849
tmp_D.136,0.157770569,0.151861624,513
tmp_D.137,0.095855581,0.091497626,370
tmp_D.138,0,0,14
tmp_D.139,0.240695882,0.24171889,664
tmp_D.14,0.091497626,0.083745275,358
tmp_D.140,0.029271613,0.028324698,206
tmp_D.141,0.276375672,0.268545455,703
tmp_D.142,0.102150538,0.096166931,383
tmp_D.143,0.323332762,0.315955434,748
tmp_D.144,0.498755703,0.517308948,844
tmp_D.145,0.120212766,0.114653784,433
tmp_D.146,0.262362381,0.262177961,689
tmp_D.147,0.127067553,0.120630372,448
tmp_D.148,0.32218845,0.313423645,745
tmp_D.149,0,0,15
tmp_D.15,0.154561488,0.147588491,505
tmp_D.150,0.36135634,0.354129264,781
tmp_D.151,0.028065894,0.027145662,203
tmp_D.152,0.253467241,0.253619303,678
tmp_D.153,0.133224579,0.126185102,459
tmp_D.154,0.013273228,0.013752914,159
tmp_D.155,0.222912353,0.221260318,639
tmp_D.156,0,0,16
tmp_D.157,0.215384615,0.207107843,620
tmp_D.158,0,0,17
tmp_D.159,0.005607896,0.007065473,128
tmp_D.16,0.210719194,0.203380282,611
tmp_D.160,0.043680839,0.046911791,254
tmp_D.161,0.04919854,0.0503003,273
tmp_D.162,0.157882729,0.151951287,514
tmp_D.163,0.046835195,0.048780488,263
tmp_D.164,0.015880893,0.017364203,169
tmp_D.165,0.143674177,0.137919463,479
tmp_D.166,0.143819792,0.137975667,480
tmp_D.167,0.40952381,0.41956185,813
tmp_D.168,0.116413374,0.111509502,422
tmp_D.169,0.024788392,0.025483871,197
tmp_D.17,0.28335736,0.274471137,710
tmp_D.170,0.12250185,0.117780528,440
tmp_D.171,0,0,18
tmp_D.172,0.001769129,0.00254842,103
tmp_D.173,0.188627984,0.177015573,569
tmp_D.174,0.517308948,0.544371332,847
tmp_D.175,0.187377691,0.173989455,565
tmp_D.176,0.106755388,0.099711578,393
tmp_D.177,0.002459847,0.003278689,109
tmp_D.178,0.153581662,0.146390253,501
tmp_D.179,0.257622312,0.256216038,682
tmp_D.18,0.343602257,0.333099825,761
tmp_D.180,0.00257334,0.004087385,112
tmp_D.181,0.097674419,0.093669888,375
tmp_D.182,0.273502304,0.267093395,699
tmp_D.183,0.184062293,0.173107633,559
tmp_D.184,0.159858475,0.154561488,521
tmp_D.185,0.122171946,0.117624715,439
tmp_D.186,0.170440841,0.160144181,538
tmp_D.187,0.153870359,0.14739229,502
tmp_D.188,0.222415507,0.220876586,638
tmp_D.189,0.113448845,0.109176916,416
tmp_D.19,0.203418392,0.196317551,599
tmp_D.190,0.041260485,0.042620009,243
tmp_D.191,0.218788628,0.2125,626
tmp_D.192,0.169082126,0.159505208,535
tmp_D.193,0.307011454,0.303254438,735
tmp_D.194,0,0,19
tmp_D.195,0.094995141,0.090092166,366
tmp_D.196,0.211637193,0.205323194,616
tmp_D.197,0.046975212,0.048946618,264
tmp_D.198,0.047266515,0.049152542,266
tmp_D.199,0.147521637,0.142762723,489
tmp_D.2,0.044266442,0.047963614,258
tmp_D.20,0.054347826,0.05417309,282
tmp_D.200,1.11E-16,1.11E-16,75
tmp_D.201,0,0,20
tmp_D.202,0.031638724,0.030342436,214
tmp_D.203,0.101953739,0.095825985,381
tmp_D.204,0.11913815,0.114450243,431
tmp_D.205,0.050446122,0.052318668,276
tmp_D.206,0.155798905,0.147667419,506
tmp_D.207,0.146813248,0.141687657,486
tmp_D.208,0.112490181,0.108357833,413
tmp_D.209,0.158576763,0.152517686,516
tmp_D.21,0.165678949,0.157153447,529
tmp_D.210,0.303180915,0.300773861,731
tmp_D.211,0.160224757,0.155505108,522
tmp_D.212,0.352323232,0.344032466,769
tmp_D.213,-2.22E-16,-2.22E-16,1
tmp_D.214,-2.22E-16,-2.22E-16,2
tmp_D.215,0.204545455,0.196902655,602
tmp_D.216,0.103907638,0.098113208,385
tmp_D.217,0.160471204,0.1561329,523
tmp_D.218,0.049142857,0.050284784,272
tmp_D.219,0.108357833,0.105816832,401
tmp_D.22,0,0,8
tmp_D.220,0.048642267,0.049893843,269
tmp_D.221,0.090909091,0.081878535,355
tmp_D.222,0.386849914,0.39633489,802
tmp_D.223,0.112133891,0.107727998,411
tmp_D.224,0.040543763,0.042108051,242
tmp_D.225,0.14916318,0.143024619,491
tmp_D.226,0.050429707,0.05166745,275
tmp_D.227,0.031083481,0.029192274,211
tmp_D.228,0.065685571,0.059997109,302
tmp_D.229,0.220784472,0.21776004,634
tmp_D.23,0.188464663,0.176613295,567
tmp_D.230,0,0,21
tmp_D.231,0.351385747,0.343148803,768
tmp_D.232,0.259086673,0.257916365,685
tmp_D.233,0.122934118,0.117935594,441
tmp_D.234,0.134929443,0.127200971,462
tmp_D.235,0.24122807,0.241838774,665
tmp_D.236,0.454486626,0.476704154,833
tmp_D.237,0.023342059,0.02472885,193
tmp_D.238,0.002558199,0.003746195,111
tmp_D.239,0.043303929,0.045947341,251
tmp_D.24,0.173073093,0.161423651,542
tmp_D.240,0.001012402,0.001283422,95
tmp_D.241,0,0,22
tmp_D.242,0.009689441,0.010684246,146
tmp_D.243,0.071409468,0.066443472,318
tmp_D.244,0.031115149,0.029271613,212
tmp_D.245,0.014366021,0.014664411,162
tmp_D.246,0,0,23
tmp_D.247,0.000661667,0.001209555,93
tmp_D.248,0.017879418,0.019473684,178
tmp_D.249,0.006372433,0.007209063,132
tmp_D.25,0.448141349,0.461394478,830
tmp_D.250,0.065558285,0.059466667,301
tmp_D.251,1.11E-16,1.11E-16,76
tmp_D.252,0.356856857,0.351612903,777
tmp_D.253,0.104386582,0.098314607,386
tmp_D.254,0.152933421,0.145099295,498
tmp_D.255,0,0,24
tmp_D.256,0.04390747,0.046953938,255
tmp_D.257,0.070285317,0.066295979,317
tmp_D.258,0.027145662,0.026161656,201
tmp_D.259,0.182610745,0.172131148,558
tmp_D.26,0.196799551,0.186065574,584
tmp_D.260,0.14989648,0.143743043,493
tmp_D.261,0.107053942,0.101527846,396
tmp_D.262,0.527444917,0.544946237,848
tmp_D.263,0.327266656,0.321291314,751
tmp_D.264,0.323288765,0.313745425,746
tmp_D.265,0.422350472,0.427111608,817
tmp_D.266,0.144019349,0.138736264,482
tmp_D.267,0,0,25
tmp_D.268,0.061618291,0.058296645,296
tmp_D.269,0.00228467,0.002904564,106
tmp_D.27,0.278634146,0.27345173,708
tmp_D.270,0,0,26
tmp_D.271,0.278223319,0.272281276,707
tmp_D.272,0.128139535,0.12250185,451
tmp_D.273,0.01675485,0.018008245,172
tmp_D.274,0.487051482,0.501032821,842
tmp_D.275,0.364494185,0.356856857,786
tmp_D.276,0.323293173,0.313924051,747
tmp_D.277,0.220296513,0.216526259,632
tmp_D.278,0.171827795,0.160493827,539
tmp_D.279,0.059616537,0.056485823,293
tmp_D.28,0.297367184,0.293227092,725
tmp_D.280,0.038523598,0.038320722,236
tmp_D.281,0.091448931,0.083673032,357
tmp_D.282,0.202010799,0.19159292,594
tmp_D.283,0,0,27
tmp_D.284,0.251033912,0.25192759,675
tmp_D.285,0.088578089,0.081205986,350
tmp_D.286,0.129568682,0.123190686,453
tmp_D.287,0.011982775,0.012540144,153
tmp_D.288,0.068698476,0.062789927,311
tmp_D.289,0.032280064,0.030635279,215
tmp_D.29,0.107487179,0.105041084,399
tmp_D.290,0.04601227,0.048553719,262
tmp_D.291,0.304792768,0.300800801,732
tmp_D.292,0.239961297,0.241630277,663
tmp_D.293,0.129709576,0.12342216,454
tmp_D.294,0.125941496,0.119596226,446
tmp_D.295,0.258988422,0.257458564,684
tmp_D.296,0.255715871,0.254885769,680
tmp_D.297,0,0,28
tmp_D.298,0.201718156,0.191045309,593
tmp_D.299,0.192617734,0.179245283,573
tmp_D.3,0.393073982,0.40952381,808
tmp_D.30,0.108511126,0.105929521,402
tmp_D.300,0.117369309,0.113448845,427
tmp_D.301,0.422474338,0.430958949,818
tmp_D.302,0.356900068,0.352220521,778
tmp_D.303,0.158609193,0.153178564,517
tmp_D.304,0.055907916,0.055256272,286
tmp_D.305,0.299874844,0.297189696,728
tmp_D.306,0.237307604,0.236879433,659
tmp_D.307,0.070102642,0.065685571,316
tmp_D.308,0.216341856,0.20923974,623
tmp_D.309,0.239376009,0.241046832,662
tmp_D.31,0.337794186,0.327607362,756
tmp_D.310,0.073091719,0.067388858,322
tmp_D.311,0.211289957,0.203602445,613
tmp_D.312,0.135308918,0.12917753,465
tmp_D.313,0.066455696,0.061771818,307
tmp_D.314,0.137919463,0.132292059,471
tmp_D.315,0.37332358,0.367163009,791
tmp_D.316,0.270593167,0.267033723,697
tmp_D.317,0.247438525,0.248956159,670
tmp_D.318,0.224127373,0.221303208,640
tmp_D.319,0.019166267,0.020699852,180
tmp_D.32,0.031328954,0.029404212,213
tmp_D.320,0.069735951,0.064829822,314
tmp_D.321,0.000480077,0.000954654,90
tmp_D.322,0.00391581,0.005253204,120
tmp_D.323,0.078030954,0.070686071,333
tmp_D.324,0.007233273,0.007977026,135
tmp_D.325,0.010405827,0.011462048,149
tmp_D.326,0.010353753,0.011319949,148
tmp_D.327,0.015536723,0.015899817,166
tmp_D.328,0.038703435,0.038680011,237
tmp_D.329,0.375375375,0.373317591,792
tmp_D.33,1.11E-16,1.11E-16,70
tmp_D.330,0.357887579,0.352901179,779
tmp_D.331,0.36979259,0.365827531,788
tmp_D.332,0.37006079,0.366138855,789
tmp_D.333,0.210985312,0.203418392,612
tmp_D.334,0.219411951,0.2162527,631
tmp_D.335,0.088476883,0.080498534,349
tmp_D.336,NA,,
tmp_D.337,0.003408316,0.005199667,119
tmp_D.338,0.062515203,0.058583503,297
tmp_D.339,0.150793651,0.143752903,494
tmp_D.34,0.314110689,0.30767921,738
tmp_D.340,0.193042191,0.180796482,574
tmp_D.341,0.355635758,0.349438974,774
tmp_D.342,0.017713004,0.019026975,177
tmp_D.343,0.010756747,0.011750343,151
tmp_D.344,0.098817967,0.094995141,379
tmp_D.345,0.033022015,0.031115721,218
tmp_D.346,0.191209282,0.178403756,572
tmp_D.347,0.221325648,0.220296513,637
tmp_D.348,0.233972603,0.232660228,653
tmp_D.349,0.288994083,0.280446549,716
tmp_D.35,0.022454837,0.023182534,189
tmp_D.350,0.215489749,0.207260853,621
tmp_D.351,0.422812193,0.434309218,819
tmp_D.352,0,0,29
tmp_D.353,0,0,30
tmp_D.354,0.249288907,0.249102334,671
tmp_D.355,0.260453579,0.259710452,687
tmp_D.356,0.187006007,0.173638516,564
tmp_D.357,0,0,31
tmp_D.358,0.235242676,0.233216848,655
tmp_D.359,0.140281551,0.133907126,475
tmp_D.36,0.166376686,0.157770569,531
tmp_D.360,0,0,32
tmp_D.361,0.46221466,0.478624389,834
tmp_D.362,0.00182704,0.00260078,104
tmp_D.363,0,0,33
tmp_D.364,1.11E-16,0.000208117,77
tmp_D.365,0,0,34
tmp_D.366,0.105162888,0.09936212,390
tmp_D.367,0.043024123,0.044115492,249
tmp_D.368,0.206787556,0.200033036,605
tmp_D.369,0.037396795,0.035224154,231
tmp_D.37,0.359240373,0.353991881,780
tmp_D.370,0.002189142,0.00286533,105
tmp_D.371,0,0,35
tmp_D.372,0.124842371,0.118375326,445
tmp_D.373,0.127779945,0.122258851,450
tmp_D.374,0.005902192,0.007189073,131
tmp_D.375,0.33635276,0.323288765,755
tmp_D.376,0.131104884,0.123551279,455
tmp_D.377,0,0,36
tmp_D.378,0.136519748,0.130479312,467
tmp_D.379,0.097419205,0.092699884,374
tmp_D.38,0.055751805,0.054722335,285
tmp_D.380,0.203726968,0.196389605,600
tmp_D.381,0.202243372,0.192617734,595
tmp_D.382,0.072205307,0.066984609,320
tmp_D.383,0.156747201,0.149472097,510
tmp_D.384,0.146369685,0.141003948,485
tmp_D.385,0,0,37
tmp_D.386,0,0,38
tmp_D.387,0.05304477,0.053658537,280
tmp_D.388,0.216006216,0.208449829,622
tmp_D.389,0.384172662,0.381245196,798
tmp_D.39,0.178125,0.16607857,549
tmp_D.390,0.143028127,0.137380192,478
tmp_D.391,0.1534937,0.146011717,500
tmp_D.392,0.176806084,0.164623955,547
tmp_D.393,0.304914048,0.301670734,733
tmp_D.394,0.29681112,0.291503268,724
tmp_D.395,0.035083291,0.032280064,222
tmp_D.396,0.137350178,0.132264529,470
tmp_D.397,0.197702378,0.188739377,587
tmp_D.398,0.196408738,0.184542587,582
tmp_D.399,0.290982815,0.282691875,719
tmp_D.4,0.427898632,0.440085592,821
tmp_D.40,0.124250969,0.118115739,444
tmp_D.400,0.181151673,0.169208574,554
tmp_D.401,0.10904685,0.10601767,404
tmp_D.402,0.077853364,0.070509012,332
tmp_D.403,0.187780041,0.174230331,566
tmp_D.404,0.156995662,0.151493931,512
tmp_D.405,0.01269225,0.013273228,157
tmp_D.406,0.037144636,0.033134328,228
tmp_D.407,0.069413977,0.063990692,313
tmp_D.408,0.169146732,0.159952134,536
tmp_D.409,0.115531205,0.110630549,420
tmp_D.41,0.007577352,0.008524002,139
tmp_D.410,0.10706498,0.10178117,397
tmp_D.411,0.196548418,0.184564315,583
tmp_D.412,0.287188612,0.276375672,712
tmp_D.413,0.673951646,0.597565869,852
tmp_D.414,0.059399684,0.056410994,292
tmp_D.415,0.107267442,0.102900552,398
tmp_D.416,0.00259656,0.004768892,114
tmp_D.417,0.139874739,0.133881654,474
tmp_D.418,0.085091421,0.073421989,343
tmp_D.419,0.629473684,0.570949346,851
tmp_D.42,0.113983051,0.109830192,417
tmp_D.420,0.029515641,0.028477547,208
tmp_D.421,0.156918239,0.149992523,511
tmp_D.422,0.016968073,0.018337408,174
tmp_D.423,0,0,39
tmp_D.424,0.055976292,0.05550517,287
tmp_D.425,0.211472181,0.203821656,614
tmp_D.426,0.391799163,0.401532745,806
tmp_D.427,0.076718698,0.069698355,327
tmp_D.428,0.113099335,0.108393285,414
tmp_D.429,0.045592705,0.04826087,261
tmp_D.43,0.053745928,0.054048092,281
tmp_D.430,0.346106808,0.334563913,763
tmp_D.431,0.094325535,0.089637306,365
tmp_D.432,0.224251433,0.222207447,641
tmp_D.433,0.143862554,0.13872013,481
tmp_D.434,0.00729927,0.008094509,136
tmp_D.435,0.353968528,0.348773518,773
tmp_D.436,0.015749642,0.016272565,168
tmp_D.437,0.203151261,0.196127644,598
tmp_D.438,0.184434434,0.173215531,560
tmp_D.439,0.059657702,0.057667663,294
tmp_D.44,0.17194157,0.160779221,540
tmp_D.440,0.393481342,0.410278595,809
tmp_D.441,0.227251838,0.22448618,645
tmp_D.442,0.156008915,0.147963291,507
tmp_D.443,0.058783166,0.056100552,291
tmp_D.444,0.000927214,0.00122429,94
tmp_D.445,0.105084746,0.098661234,388
tmp_D.446,0.097399451,0.09223301,373
tmp_D.447,0.080500472,0.072796935,339
tmp_D.448,0.096164937,0.09152711,371
tmp_D.449,0.173333333,0.161812298,543
tmp_D.45,0.001628996,0.002386635,102
tmp_D.450,0.356705351,0.349507202,775
tmp_D.451,0.017158672,0.018427255,175
tmp_D.452,0.191075243,0.177676084,570
tmp_D.453,0.092703075,0.085990121,361
tmp_D.454,0.272163121,0.267062791,698
tmp_D.455,0,0,40
tmp_D.456,0.118819374,0.114174757,430
tmp_D.457,0.377366799,0.378606615,794
tmp_D.458,0.362697023,0.35512778,784
tmp_D.459,0.171947528,0.161332341,541
tmp_D.46,0.003969624,0.005607896,121
tmp_D.460,0.080749954,0.072806067,340
tmp_D.461,0.080966617,0.07302375,341
tmp_D.462,0.163748459,0.157081705,527
tmp_D.463,0.008389716,0.009430177,141
tmp_D.464,0.121426764,0.116220736,437
tmp_D.465,0.00252809,0.00364004,110
tmp_D.466,0,0,41
tmp_D.467,0.135150167,0.127725857,464
tmp_D.468,1.11E-16,0.000325203,78
tmp_D.469,0.154403177,0.147521637,503
tmp_D.47,0.076298302,0.069151325,326
tmp_D.470,0.196389094,0.184425598,581
tmp_D.471,0.285714286,0.275498466,711
tmp_D.472,0.020866142,0.022274722,186
tmp_D.473,0.265006553,0.265851637,695
tmp_D.474,0.163962065,0.15711484,528
tmp_D.475,0.020113259,0.020969856,182
tmp_D.476,0.066630553,0.062439962,308
tmp_D.477,0.686180067,0.63976841,853
tmp_D.478,0.454322334,0.472447494,832
tmp_D.479,0.186734263,0.173560422,563
tmp_D.48,0.140879479,0.135753749,477
tmp_D.480,0,0,42
tmp_D.481,0.352366479,0.345283397,770
tmp_D.482,0.088906582,0.081254631,351
tmp_D.483,0,0,43
tmp_D.484,0.242757391,0.245530146,666
tmp_D.485,0.218914925,0.213330712,627
